bead_type1,bead_type2,smiles1,smiles2,heavy_atoms1,heavy_atoms2
CG0,CG0,CCCCC,CCCCC,5,5
CG0,CG1,CCCCC,N=C=O,5,3
CG0,CG2,CCCCC,CC,5,2
CG0,CG3,CCCCC,CO,5,2
CG0,CG4,CCCCC,OCCO,5,4
CG0,CG5,CCCCC,CCO,5,3
CG0,CG6,CCCCC,CCOC,5,4
CG0,CG7,CCCCC,OCC(CO)CO,5,7
CG1,CG1,N=C=O,N=C=O,3,3
CG1,CG2,N=C=O,CC,3,2
CG1,CG3,N=C=O,CO,3,2
CG1,CG4,N=C=O,OCCO,3,4
CG1,CG5,N=C=O,CCO,3,3
CG1,CG6,N=C=O,CCOC,3,4
CG1,CG7,N=C=O,OCC(CO)CO,3,7
CG2,CG2,CC,CC,2,2
CG2,CG3,CC,CO,2,2
CG2,CG4,CC,OCCO,2,4
CG2,CG5,CC,CCO,2,3
CG2,CG6,CC,CCOC,2,4
CG2,CG7,CC,OCC(CO)CO,2,7
CG3,CG3,CO,CO,2,2
CG3,CG4,CO,OCCO,2,4
CG3,CG5,CO,CCO,2,3
CG3,CG6,CO,CCOC,2,4
CG3,CG7,CO,OCC(CO)CO,2,7
CG4,CG4,OCCO,OCCO,4,4
CG4,CG5,OCCO,CCO,4,3
CG4,CG6,OCCO,CCOC,4,4
CG4,CG7,OCCO,OCC(CO)CO,4,7
CG5,CG5,CCO,CCO,3,3
CG5,CG6,CCO,CCOC,3,4
CG5,CG7,CCO,OCC(CO)CO,3,7
CG6,CG6,CCOC,CCOC,4,4
CG6,CG7,CCOC,OCC(CO)CO,4,7
CG7,CG7,OCC(CO)CO,OCC(CO)CO,7,7
