smiles_1,smiles_2,smiles_3,r,k,type,Unnamed: 6
OCC,[NH]C(C)=O,CCC,150,45,1,
[NH]C(C)=O,[NH]C(C)=O,CCC,140,13,1,
CCC,CCC,C=CC,125,13,1,
CCC,C=CC,C=CC,120,20,1,
C=CC,C=CC,C=CC,120,25,1,
C=CC,C=CC,CCCC,125,20,1,
C[NH]C=O,C[NH]C=O,C[NH]C=O,137,25,10,ALA
C[NH]C=O,C[NH]C=O,CC,110,15,10,ALA
CC,C[NH]C=O,C[NH]C=O,75,15,10,ALA
C[NH]C=O,C[NH]C=O,CCC,90,15,10,ARG
C[NH]C=O,CCC,C[NH]C=O,180,25,2,
C[NH]C=O,C[NH]C=O,CC(N)=O,90,15,10,ASN
C[NH]C=O,C[NH]C=O,CC(O)=O,100,15,10,ASP
CC(O)=O,C[NH]C=O,C[NH]C=O,90,15,10,ASP
C[NH]C=O,C[NH]C=O,CS,100,15,10,CYS
CS,C[NH]C=O,C[NH]C=O,75,15,10,CYS
C[NH]C=O,C[NH]C=O,CCC(N)=O,90,15,10,GLN
C[NH]C=O,C[NH]C=O,CCC([O])=O,100,15,10,GLU
CCC([O])=O,C[NH]C=O,C[NH]C=O,90,15,10,GLU
C[NH]C=O,C[NH]C=O,C=C,100,15,10,HIS
C=C,C[NH]C=O,C[NH]C=O,90,15,10,HIS
C[NH]C=O,C[NH]C=O,CCCC,110,15,10,ILE
CCCC,C[NH]C=O,C[NH]C=O,90,15,10,ILE
C[NH]C=O,C[NH]C=O,CC(C)C,100,15,10,LEU
CC(C)C,C[NH]C=O,C[NH]C=O,90,15,10,LEU
C[NH]C=O,C[NH]C=O,CCSC,90,15,10,
[O][Si](C)C,[O][Si](C)C,[O][Si](C)C,86,45.86,1,PDMS
CCCC,CCCC,CCCC,180,20,1,PE
COC,COC,COC,123,80,1,PEG
CC,O=COC,CC,90,80,2,PMA
CC,CC,CC,139,100,2,PMA
CCC,O=COC,CCC,70,20,2,PMMA
CCC,CCC,CCC,115,35,2,PMMA
c1ccccc1,C#C,c1ccccc1,143,550,1,PPE
C#C,c1ccccc1,C#C,83,650,1,
CCO,CCO,CCO,135,40,2,PVA
C[NH]C=O,C[NH]C=O,CO,110,15,10,SER
CO,C[NH]C=O,C[NH]C=O,70,15,10,SER
C[NH]C=O,C[NH]C=O,CCO,100,15,10,THR
CCO,C[NH]C=O,C[NH]C=O,75,15,10,THR
C[NH]C=O,C[NH]C=O,c1ccccc1,100,15,10,TYR
c1ccccc1,C[NH]C=O,C[NH]C=O,90,15,10,TYR
C[Si](C)O,C[Si](C)O,C[Si](C)O,86,46,1,PDMS
C[Si](C)(O)O,C[Si](C)O,C[Si](C)O,86,46,1,PDMS
O[Si],C[Si](C)O,C[Si](C)O,86,46,1,PDMS
