smiles_1,smiles_2,type,r,k,Unnamed: 5,Unnamed: 6,ring,Unnamed: 8
OCC,[NH]C(C)=O,1,0.3,30000,,,b1,AEA
[NH]C(C)=O,CCC,1,0.3,6500,,,b2,
CCC,C=CC,1,0.35,4000,,,b3,
C=CC,C=CC,1,0.34,9000,,,b4,
C=CC,CCCC,1,0.42,5000,,,b7,
C=C,C/C=C(C)\C,1,0.337,10000,,,,
C/C=C(C)\C,C/C=C(C)\C,1,0.481,10000,,,,
C[NH]C=O,C[NH]C=O,1,0.36,8000,,ALA,,
C[NH]C=O,CC,1,0.27,20000,CONSTRAIN,ALA,,
C[NH]C=O,CCC,1,0.33,5000,,ARG,,
CCC,[NH]C(N)=[NH2+],1,0.38,5000,,AAR,,
C[NH]C=O,CC(N)=O,1,0.352,5000,,ASN,,
C[NH]C=O,CC(O)=O,1,0.352,7500,,ASP,,
C[NH]C=O,CS,1,0.341,7500,,CYS,,
CCC(N)=O,C[NH]C=O,1,0.4,5000,,GLN,,
C[NH]C=O,CCC([O])=O,1,0.4,5000,,GLU,,
C[NH]C=O,C=C,1,0.336,7500,,HIS,,
C[NH]C=O,CCCC,1,0.341,20000,CONSTRAIN,ILE,,
C[NH]C=O,CC(C)C,1,0.363,7500,,LEU,,
CCC,C[NH3+],1,0.36,5000,,LYS,,
C[NH]C=O,CCSC,1,0.4,2500,,MET,,
[O][Si](C)C,[O][Si](C)C,1,0.448,11150,,PDMS,,
CCCC,CCCC,1,0.46,2100,,PE,,
COC,COC,1,0.36,7000,,PEG,,
O=COC,CC,1,0.365,8000,,PMA,,
CC,CC,1,0.253,8000,,,,
CCC,O=COC,1,0.352,9000,,PMMA,,
CCC,CCC,1,0.315,4000,,,,
c1ccccc1,C#C,1,0.234,9000,,PPE,,
CC,c1ccccc1,1,0.27,8000,,PS,,
CCO,CCO,1,0.3,8000,,PVA,,
C[NH]C=O,CO,1,0.287,7500,,,,
C[NH]C=O,OCC,1,0.305,20000,CONSTRAIN,THR,,
C[NH]C=O,c1ccccc1,1,0.325,5000,,TYR,,
C[Si](C)O,C[Si](C)O,1,0.447,11000,,,,
C[Si](C)(O)O,C[Si](C)O,1,0.446,11500,,,,
O[Si],C[Si](C)O,1,0.246,12500,,,,
CCCC,CCCC,1,0.47,3800,bonds,martini3_lipidome_repo,BOND_000002,PHO
CCCC,CCCC,1,0.47,5000,bonds,martini3_ionizable_lipids_repo,BOND_000005,Ester
CCCC,CCCC,1,0.5,5000,bonds,martini3_ionizable_lipids_repo,BOND_000007,Ester
CCCC,CCCC,1,0.55,2500,bonds,martini3_ionizable_lipids_repo,BOND_000008,EP
CCC,CCCC,1,0.47,5000,bonds,martini3_ionizable_lipids_repo,BOND_000010,DBAE
C=CC,CCCC,1,0.47,3800,bonds,mad_martini3001,BOND_000011,DAPA
CCCC,C=CCC,1,0.47,5000,bonds,martini3_ionizable_lipids_repo,BOND_000012,Ester
CCSS,CCCC,1,0.55,2500,bonds,martini3_ionizable_lipids_repo,BOND_000016,EP
CN(C)C,CCCC,1,0.45,2500,bonds,martini3_ionizable_lipids_repo,BOND_000017,PI
COC=O,CCCCC,1,0.47,3600,bonds,mad_martini3001,BOND_000018,DBPA
COC=O,CCCCC,1,0.47,5000,bonds,martini3_core_release,BOND_000019,DTPC
CCCC,CN(C)C,1,0.46,7000,bonds,martini3_lipidome_repo,BOND_000021,HPI
C[N+](C)C,CCCC,1,0.43,2000,bonds,martini3_ionizable_lipids_repo,BOND_000023,ALC
CNC=O,CCCC,1,0.43,5000,bonds,martini3_ionizable_lipids_repo,BOND_000024,CA
